Taille,Temps_Liste,Temps_Hash
10,0.000009,0.000003
11,0.000002,0.000001
12,0.000002,0.000002
13,0.000005,0.000001
14,0.000003,0.000002
15,0.000003,0.000001
16,0.000002,0.000001
17,0.000004,0.000002
18,0.000004,0.000001
19,0.000004,0.000001
20,0.000004,0.000002
22,0.000004,0.000001
24,0.000005,0.000003
26,0.000005,0.000001
28,0.000005,0.000002
30,0.000010,0.000008
33,0.000007,0.000002
36,0.000007,0.000002
39,0.000010,0.000002
42,0.000011,0.000003
46,0.000019,0.000004
50,0.000019,0.000004
55,0.000022,0.000004
60,0.000025,0.000005
66,0.000030,0.000004
72,0.000035,0.000004
79,0.000041,0.000005
86,0.000044,0.000005
94,0.000045,0.000004
103,0.000053,0.000005
113,0.000065,0.000004
124,0.000076,0.000005
136,0.000092,0.000007
149,0.000110,0.000010
163,0.000131,0.000006
179,0.000156,0.000007
196,0.000188,0.000008
215,0.000229,0.000016
236,0.000271,0.000015
259,0.000378,0.000015
284,0.000391,0.000012
312,0.000470,0.000014
343,0.000568,0.000015
377,0.000575,0.000014
414,0.000677,0.000015
455,0.000826,0.000017
500,0.000985,0.000023
550,0.001265,0.000019
605,0.001459,0.000021
665,0.001655,0.000018
731,0.001806,0.000021
804,0.002175,0.000022
884,0.002656,0.000027
972,0.002865,0.000026
1069,0.003430,0.000030
1175,0.003579,0.000030
1292,0.004487,0.000042
1421,0.004758,0.000043
1563,0.005294,0.000030
1719,0.006081,0.000038
1890,0.006697,0.000036
2079,0.007921,0.000048
2286,0.008798,0.000039
2514,0.010467,0.000050
2765,0.012508,0.000051
3041,0.014767,0.000064
3345,0.017881,0.000074
3679,0.021549,0.000081
4046,0.026150,0.000086
4450,0.031535,0.000101
4895,0.038096,0.000109
5384,0.045855,0.000129
5922,0.055477,0.000139
6514,0.067575,0.000162
7165,0.081130,0.000190
7881,0.098211,0.000223
8669,0.118517,0.000270
9535,0.143387,0.000302
10488,0.174283,0.000335
11536,0.209196,0.000415
12689,0.254205,0.000474
13957,0.305690,0.000584
15352,0.370377,0.000588
16887,0.447638,0.000741
18575,0.541268,0.000783
20432,0.656939,0.001043
22475,0.799219,0.001161
24722,0.969161,0.001244
27194,1.175230,0.001632
29913,1.419424,0.001982
32904,1.721755,0.001970
36194,2.069646,0.002394
39813,2.533939,0.002906
43794,3.050957,0.003782
48173,3.682036,0.004143
52990,4.485477,0.004793
58289,5.397781,0.005839
64117,6.523145,0.006535
70528,7.894495,0.008258
77580,9.593664,0.009409
85338,11.645779,0.010800
93871,14.169096,0.013042
